base_feature,tuned_feature,decoder_cosine,base_frequency,tuned_frequency,frequency_delta,frequency_delta_abs,base_mean_activation,tuned_mean_activation,mean_activation_delta,category
532,532,0.9810256,0.0124699995,0.97125995,0.95878994,0.95878994,0.00016247711,0.20073415,0.20057167,frequency_shifted
2422,2422,0.981038,0.97055995,0.00075999997,-0.96979994,0.96979994,0.19187982,1.9697918e-05,-0.19186012,frequency_shifted
4785,4785,0.98139215,0.0015499999,0.97187,0.97032,0.97032,5.6967878e-05,0.19743852,0.19738156,frequency_shifted
4606,4606,0.9817811,0.97037,0.01308,-0.95729,0.95729,0.19644395,0.0010387538,-0.19540519,frequency_shifted
776,776,0.98195493,0.01704,0.98170996,0.96466994,0.96466994,0.0023413117,0.16749902,0.1651577,frequency_shifted
2661,2661,0.98198783,0.00826,0.96946996,0.96120995,0.96120995,0.00012774701,0.17025554,0.1701278,frequency_shifted
4407,4407,0.9822862,0.97222996,0.0108199995,-0.96141,0.96141,0.17544816,0.0004893209,-0.17495884,frequency_shifted
1510,1510,0.9824031,0.96704996,0.015199999,-0.95184994,0.95184994,0.15770453,0.0018119685,-0.15589257,frequency_shifted
1654,1654,0.9824772,0.00084,0.9675,0.96665996,0.96665996,3.0969066e-05,0.14440826,0.14437729,frequency_shifted
4709,4709,0.98271585,0.00853,0.96707,0.95853996,0.95853996,0.0002458908,0.12287182,0.12262593,frequency_shifted
1148,1148,0.9828156,0.98456997,0.011229999,-0.97334,0.97334,0.17007308,0.0012617054,-0.16881137,frequency_shifted
5897,5897,0.98301387,0.97944,0.01715,-0.96229,0.96229,0.20915937,0.004403179,-0.2047562,frequency_shifted
3398,3398,0.983047,0.00091999996,0.96917,0.96825,0.96825,3.948275e-05,0.15164311,0.15160362,frequency_shifted
229,229,0.9830546,0.00842,0.96756,0.95914,0.95914,0.00015399049,0.16247272,0.16231874,frequency_shifted
2936,2936,0.9830827,0.01353,0.96809995,0.95456994,0.95456994,0.00057908555,0.15620436,0.15562527,frequency_shifted
400,400,0.983194,0.01478,0.97644997,0.96167,0.96167,0.00023251388,0.14567743,0.14544491,frequency_shifted
2535,2535,0.9834444,0.00921,0.97049,0.96128,0.96128,0.00056302315,0.17153315,0.17097013,frequency_shifted
1429,1429,0.9834446,0.01454,0.97115,0.95660996,0.95660996,0.0007898181,0.18334663,0.18255681,frequency_shifted
6103,6103,0.98351216,0.96683997,0.00065,-0.96619,0.96619,0.15047336,1.9526973e-05,-0.15045384,frequency_shifted
5797,5797,0.9836023,0.00877,0.96875,0.95998,0.95998,0.00072988716,0.16822527,0.16749538,frequency_shifted
1029,1029,0.9838991,0.01081,0.97106,0.96024996,0.96024996,0.0010781756,0.20803943,0.20696126,frequency_shifted
2919,2919,0.9839535,0.96691,0.01236,-0.95455,0.95455,0.1691875,0.0011808976,-0.1680066,frequency_shifted
1898,1898,0.9841392,0.010249999,0.96822,0.95797,0.95797,0.00039012713,0.17342573,0.1730356,frequency_shifted
4145,4145,0.9841578,0.00889,0.97006,0.96117,0.96117,0.0005416036,0.18978187,0.18924028,frequency_shifted
3290,3290,0.9843315,0.96404,0.0011999999,-0.96283996,0.96283996,0.11901061,4.6800935e-05,-0.11896381,frequency_shifted
1057,1057,0.98441625,0.01642,0.97336996,0.95694995,0.95694995,0.0011123935,0.14257988,0.1414675,frequency_shifted
1048,1048,0.98444927,0.00142,0.97253996,0.97111994,0.97111994,4.584643e-05,0.22390182,0.22385597,frequency_shifted
3114,3114,0.9845165,0.96867996,0.01387,-0.95480996,0.95480996,0.16012497,0.000808814,-0.15931615,frequency_shifted
4500,4500,0.98455346,0.96961,0.01476,-0.95484996,0.95484996,0.1854915,0.0014001708,-0.18409133,frequency_shifted
3467,3467,0.984704,0.00837,0.96699995,0.95862997,0.95862997,0.00060951937,0.15364729,0.15303777,frequency_shifted
1232,1232,0.9848209,0.009269999,0.96865,0.95938,0.95938,0.0009035429,0.15946515,0.1585616,frequency_shifted
4847,4847,0.98483306,0.01659,0.97642,0.95983,0.95983,0.0018221792,0.16349448,0.16167231,frequency_shifted
1225,1225,0.9849359,0.015249999,0.97134,0.95609,0.95609,0.0006176505,0.18016605,0.1795484,frequency_shifted
3564,3564,0.98500925,0.00901,0.96803,0.95901996,0.95901996,0.00064426067,0.13992713,0.13928287,frequency_shifted
3961,3961,0.9850602,0.01447,0.96976,0.95529,0.95529,0.0010378056,0.14458208,0.14354427,frequency_shifted
4019,4019,0.98512125,0.01729,0.97633,0.95904,0.95904,0.0033641567,0.1433029,0.13993874,frequency_shifted
124,124,0.9851458,0.96928996,0.0011,-0.96818995,0.96818995,0.17698109,2.1308404e-05,-0.17695978,frequency_shifted
4762,4762,0.9851551,0.01054,0.96987,0.95932996,0.95932996,0.00014053367,0.1681932,0.16805267,frequency_shifted
3777,3777,0.9853415,0.97186,0.00933,-0.96253,0.96253,0.20884395,0.0005683981,-0.20827554,frequency_shifted
2909,2909,0.9856664,0.98691,0.01715,-0.96976,0.96976,0.1901798,0.0058184494,-0.18436134,frequency_shifted
2928,2928,0.98566645,0.00483,0.97078997,0.96595997,0.96595997,4.4362e-05,0.19336304,0.19331868,frequency_shifted
2085,2085,0.9856947,0.0167,0.96918,0.95247996,0.95247996,0.001570905,0.16850449,0.16693358,frequency_shifted
1411,1411,0.9857063,0.009029999,0.96863997,0.95961,0.95961,0.000782119,0.15040837,0.14962626,frequency_shifted
3488,3488,0.9857137,0.0011,0.96933997,0.96823996,0.96823996,3.3785156e-05,0.15834033,0.15830655,frequency_shifted
340,340,0.9857576,0.00211,0.97006,0.96795,0.96795,6.879632e-05,0.17106867,0.17099987,frequency_shifted
3448,3448,0.9857605,0.00877,0.97121996,0.96244997,0.96244997,0.0008986241,0.1827391,0.18184046,frequency_shifted
2716,2716,0.9859302,0.015059999,0.96814996,0.95308995,0.95308995,0.0013577115,0.1445054,0.14314769,frequency_shifted
3000,3000,0.9859902,0.01716,0.96905,0.95189,0.95189,0.0010951294,0.16801335,0.16691822,frequency_shifted
4983,4983,0.98602307,0.00893,0.97076,0.96182996,0.96182996,0.0006351869,0.17421567,0.17358048,frequency_shifted
5318,5318,0.9860269,0.96717,0.01721,-0.94996,0.94996,0.16034335,0.00074901024,-0.15959434,frequency_shifted
6027,6027,0.98605627,0.01003,0.97203,0.962,0.962,0.00065020635,0.2014557,0.20080549,frequency_shifted
5367,5367,0.9860827,0.0012599999,0.97077996,0.96952,0.96952,4.0649316e-05,0.21171519,0.21167454,frequency_shifted
